frequency_multiplier,severity_multiplier,mean_loss_ratio,q025,q975,p_loss_ratio_gt_1
0.75,0.75,0.3994803611447447,0.39098432166573704,0.40800695763618666,0.0
0.75,1.0,0.5326921521481768,0.5212553584769648,0.5440553975363094,0.0
0.75,1.25,0.665847930380105,0.6515457737553492,0.6798656208640727,0.0
0.75,1.5,0.7991135503660969,0.7822485321285427,0.8164275911828494,0.0
0.75,1.75,0.9321460270479902,0.9123574301200148,0.951644766661279,0.0
1.0,0.75,0.5327142378017011,0.5228541593890557,0.5425172347345882,0.0
1.0,1.0,0.7103035943805509,0.6971123335090531,0.723582308447078,0.0
1.0,1.25,0.8876536010021168,0.8711278283280207,0.9042283459625685,0.0
1.0,1.5,1.0652131247807228,1.0456923016895054,1.084731737858302,1.0
1.0,1.75,1.2427945442706783,1.219838094589236,1.2663517739038352,1.0
1.25,0.75,0.6658163384811664,0.6547993717688387,0.6767901496935954,0.0
1.25,1.0,0.8877502883240043,0.8732267446438813,0.9024623446272511,0.0
1.25,1.25,1.1098536718903744,1.091308414090398,1.1282172699480915,1.0
1.25,1.5,1.3315636768987127,1.309465911715006,1.3532989456389581,1.0
1.25,1.75,1.5535416840996341,1.5278799143908053,1.5793869621361156,1.0
1.5,0.75,0.7989006874409708,0.7865872449296386,0.8108775866109494,0.0
1.5,1.0,1.065281302796003,1.0490941785741794,1.081542588976606,1.0
1.5,1.25,1.3319034557557334,1.3118612736344257,1.3519702917925456,1.0
1.5,1.5,1.5981794793552249,1.5737596781973968,1.6219918288571533,1.0
1.5,1.75,1.8642700670746308,1.8358496644977496,1.8926330701541474,1.0
1.75,0.75,0.9321599866886406,0.9191769709874573,0.9453281988388148,0.0
1.75,1.0,1.2428519292712459,1.2255242165439857,1.2603920272785136,1.0
1.75,1.25,1.5536032524218926,1.531677901492212,1.5753192968209728,1.0
1.75,1.5,1.86422945081334,1.8378851176161424,1.890222544484505,1.0
1.75,1.75,2.175202784470242,2.145163706457459,2.205654010867481,1.0
